frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
16,  0,  0.250,  0.98,  1, 0.00, 0.00, 0.73, 0.18, 1.88, 0.89, 0.00, 2.22, 1.73, 1.75, 0.07, 0.00, 0.21, 0.00, 0.07, 0.40, 0.03, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0,  0.267,  0.98,  1, 0.00, 0.00, 0.81, 0.08, 1.93, 0.92, 0.00, 2.23, 1.71, 1.73, 0.07, 0.00, 0.12, 0.00, 0.01, 0.44, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.283,  0.98,  1, 0.00, 0.00, 0.80, 0.03, 1.98, 0.89, 0.00, 2.30, 1.76, 1.68, 0.00, 0.00, 0.04, 0.00, 0.01, 0.41, 0.04, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  0.300,  0.98,  1, 0.00, 0.00, 0.86, 0.07, 1.98, 0.99, 0.00, 2.30, 1.78, 1.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.42, 0.04, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0,  0.317,  0.98,  1, 0.00, 0.00, 0.85, 0.09, 1.93, 1.32, 0.00, 2.30, 1.77, 1.66, 0.00, 0.00, 0.00, 0.01, 0.00, 0.46, 0.15, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  0.333,  0.98,  1, 0.00, 0.00, 0.82, 0.06, 1.85, 1.48, 0.00, 2.28, 1.74, 1.61, 0.00, 0.00, 0.00, 0.01, 0.01, 0.62, 0.11, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0,  0.350,  0.98,  1, 0.00, 0.00, 0.81, 0.02, 1.80, 1.56, 0.00, 2.30, 1.74, 1.46, 0.00, 0.00, 0.00, 0.01, 0.12, 0.72, 0.11, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23,  0,  0.367,  0.98,  1, 0.00, 0.00, 0.80, 0.00, 1.82, 1.47, 0.00, 2.27, 1.72, 1.44, 0.00, 0.00, 0.00, 0.00, 0.23, 0.77, 0.01, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
24,  0,  0.383,  0.98,  1, 0.00, 0.00, 0.77, 0.00, 1.84, 1.46, 0.00, 2.25, 1.71, 1.36, 0.00, 0.00, 0.00, 0.00, 0.28, 0.80, 0.01, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
25,  0,  0.400,  0.98,  1, 0.00, 0.00, 0.68, 0.00, 1.81, 1.20, 0.00, 2.18, 1.67, 1.35, 0.00, 0.00, 0.00, 0.00, 0.26, 0.84, 0.05, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
26,  0,  0.417,  0.98,  1, 0.00, 0.00, 0.63, 0.00, 1.78, 0.99, 0.00, 2.15, 1.67, 1.34, 0.00, 0.00, 0.00, 0.00, 0.29, 0.94, 0.16, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
27,  0,  0.433,  0.98,  1, 0.00, 0.00, 0.62, 0.00, 1.76, 1.00, 0.00, 2.10, 1.67, 1.34, 0.00, 0.00, 0.00, 0.00, 0.26, 0.97, 0.16, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
28,  0,  0.450,  0.98,  1, 0.00, 0.00, 0.61, 0.00, 1.79, 1.07, 0.00, 2.00, 1.65, 1.42, 0.00, 0.00, 0.00, 0.01, 0.27, 0.94, 0.17, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
29,  0,  0.467,  0.98,  1, 0.00, 0.00, 0.61, 0.00, 1.81, 1.31, 0.00, 1.98, 1.65, 1.40, 0.00, 0.00, 0.00, 0.01, 0.28, 0.95, 0.11, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
30,  0,  0.483,  0.98,  1, 0.00, 0.00, 0.63, 0.00, 1.84, 1.44, 0.00, 1.93, 1.64, 1.40, 0.00, 0.00, 0.00, 0.01, 0.29, 0.85, 0.11, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
31,  0,  0.500,  0.98,  1, 0.00, 0.00, 0.74, 0.00, 1.85, 1.57, 0.00, 1.93, 1.65, 1.44, 0.00, 0.00, 0.00, 0.00, 0.26, 0.82, 0.07, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
32,  0,  0.517,  0.98,  1, 0.00, 0.00, 0.74, 0.00, 1.85, 1.61, 0.00, 1.91, 1.64, 1.49, 0.00, 0.00, 0.00, 0.01, 0.10, 0.67, 0.01, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
33,  0,  0.533,  0.98,  1, 0.00, 0.00, 0.75, 0.00, 1.84, 1.52, 0.00, 1.95, 1.61, 1.54, 0.00, 0.00, 0.00, 0.01, 0.05, 0.72, 0.03, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
34,  0,  0.550,  0.98,  1, 0.00, 0.00, 0.72, 0.00, 1.86, 1.54, 0.00, 2.00, 1.60, 1.54, 0.00, 0.00, 0.00, 0.01, 0.00, 0.62, 0.09, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
35,  0,  0.567,  0.98,  1, 0.00, 0.00, 0.81, 0.00, 1.88, 1.51, 0.00, 1.99, 1.60, 1.51, 0.00, 0.00, 0.00, 0.00, 0.05, 0.73, 0.09, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
36,  0,  0.583,  0.98,  1, 0.00, 0.00, 0.92, 0.00, 1.87, 1.57, 0.00, 1.90, 1.60, 1.59, 0.00, 0.00, 0.00, 0.00, 0.13, 0.75, 0.08, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
37,  0,  0.600,  0.98,  1, 0.00, 0.00, 0.99, 0.00, 1.84, 1.51, 0.00, 1.88, 1.58, 1.60, 0.00, 0.00, 0.00, 0.00, 0.13, 0.83, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
38,  0,  0.617,  0.98,  1, 0.00, 0.00, 1.05, 0.00, 1.81, 1.36, 0.00, 1.87, 1.55, 1.63, 0.04, 0.00, 0.00, 0.00, 0.12, 0.69, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
39,  0,  0.633,  0.98,  1, 0.00, 0.00, 0.96, 0.00, 1.82, 1.10, 0.00, 1.94, 1.56, 1.61, 0.04, 0.00, 0.00, 0.00, 0.05, 0.62, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
40,  0,  0.650,  0.98,  1, 0.00, 0.00, 0.97, 0.00, 1.79, 1.02, 0.00, 1.93, 1.59, 1.66, 0.04, 0.00, 0.00, 0.00, 0.04, 0.56, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
41,  0,  0.667,  0.98,  1, 0.04, 0.00, 0.90, 0.00, 1.89, 1.22, 0.00, 2.07, 1.65, 1.67, 0.00, 0.00, 0.00, 0.00, 0.00, 0.55, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
42,  0,  0.683,  0.98,  1, 0.04, 0.00, 1.04, 0.01, 1.90, 1.52, 0.00, 2.02, 1.68, 1.77, 0.03, 0.00, 0.00, 0.00, 0.00, 0.56, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
43,  0,  0.700,  0.98,  1, 0.04, 0.00, 0.96, 0.07, 1.97, 1.59, 0.00, 2.01, 1.69, 1.93, 0.03, 0.00, 0.03, 0.00, 0.03, 0.61, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
44,  0,  0.717,  0.98,  1, 0.00, 0.00, 0.93, 0.07, 1.95, 1.45, 0.00, 1.92, 1.66, 1.96, 0.03, 0.00, 0.03, 0.00, 0.07, 0.70, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
45,  0,  0.733,  0.98,  1, 0.00, 0.00, 0.93, 0.14, 2.00, 1.46, 0.00, 2.03, 1.67, 2.03, 0.00, 0.00, 0.03, 0.00, 0.11, 0.79, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
46,  0,  0.750,  0.98,  1, 0.00, 0.00, 1.13, 0.14, 1.98, 1.46, 0.00, 2.11, 1.66, 2.05, 0.00, 0.00, 0.00, 0.00, 0.09, 0.91, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
47,  0,  0.767,  0.98,  1, 0.00, 0.00, 1.10, 0.14, 1.97, 1.40, 0.00, 2.18, 1.66, 2.14, 0.00, 0.00, 0.00, 0.02, 0.12, 0.88, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
48,  0,  0.783,  0.98,  1, 0.00, 0.00, 1.13, 0.06, 1.94, 1.26, 0.00, 2.14, 1.64, 2.15, 0.00, 0.00, 0.00, 0.02, 0.25, 0.85, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
49,  0,  0.800,  0.98,  1, 0.00, 0.00, 1.05, 0.00, 1.95, 1.25, 0.00, 2.13, 1.64, 2.08, 0.00, 0.00, 0.00, 0.02, 0.35, 0.74, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
50,  0,  0.817,  0.98,  1, 0.00, 0.00, 1.10, 0.00, 1.95, 1.19, 0.00, 2.14, 1.67, 2.00, 0.02, 0.00, 0.00, 0.05, 0.44, 0.71, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
51,  0,  0.833,  0.98,  1, 0.00, 0.00, 0.84, 0.00, 1.93, 1.23, 0.00, 2.16, 1.73, 1.89, 0.02, 0.00, 0.00, 0.10, 0.41, 0.71, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
52,  0,  0.850,  0.98,  1, 0.00, 0.00, 0.79, 0.00, 1.95, 1.13, 0.00, 2.22, 1.80, 1.79, 0.05, 0.00, 0.00, 0.10, 0.41, 0.76, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
